
---------- Begin Simulation Statistics ----------
system.cpu.iq.fu_full::FloatMultAcc                 0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatDiv                     0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatMisc                    0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::FloatSqrt                    0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAdd                      0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAddAcc                   0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAlu                      0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCmp                      0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdCvt                      0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMisc                     0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMult                     0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdMultAcc                  0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShift                    0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShiftAcc                 0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdDiv                      0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSqrt                     0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAdd                 0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatAlu                 0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCmp                 0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatCvt                 0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatDiv                 0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMisc                0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMult                0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatMultAcc             0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatSqrt                0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAdd                0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceAlu                0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdReduceCmp                0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceAdd            0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdFloatReduceCmp            0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAes                      0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdAesMix                   0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash                 0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha1Hash2                0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash               0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdSha256Hash2              0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma2                0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdShaSigma3                0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::SimdPredAlu                  0      0.00%     33.01% # attempts to use FU when none available
system.cpu.iq.fu_full::MemRead                7858789     42.33%     75.34% # attempts to use FU when none available
